id,text,target,target_sentiment,companies_sentiment,consumers_sentiment,len,tag,sentimient,sentimient_probas,emotion,emotion_prob,hateful,targeted,aggressive
41485,Las aseguradoras verán reducida su red bancaria en 1.560 oficinas,aseguradoras,negative,negative,neutral,65,test,NEU,0.797908365726471,others,0.9925820827484131,0.02382569946348667,0.007307971827685833,0.009705332107841969
46632,Las pretensiones de EEUU de una mayor regulación abren un horizonte de más 'bandazos' en las criptomonedas,EEUU,positive,neutral,neutral,106,test,NEG,0.6726911664009094,others,0.9644752144813538,0.029100671410560608,0.004997921641916037,0.013000675477087498
64520,Los coches eléctricos cortocircuitarán a los concesionarios,coches eléctricos,negative,neutral,neutral,59,test,NEU,0.4968746304512024,others,0.9689351320266724,0.15175460278987885,0.003421019297093153,0.03425545245409012
99212,Draghi protesta por el registro policial efectuado en el banco central de Eslovenia,Draghi,negative,neutral,neutral,83,test,NEG,0.6652671098709106,others,0.9824835658073425,0.010971693322062492,0.007368650287389755,0.007017016410827637
120799,"El nuevo escenario de tipos riega de pérdidas los bonos de Telefónica, Abertis e Iberdrola",bonos,positive,negative,neutral,90,test,NEG,0.8924161195755005,others,0.9661225080490112,0.017313873395323753,0.005472634453326464,0.012747319415211678
156774,Las empresas del Ibex 35 desaprovechan el potencial de las redes sociales,empresas del Ibex 35,negative,negative,neutral,73,test,NEG,0.961850643157959,others,0.9559381008148193,0.02738719992339611,0.003918499685823917,0.010850592516362667
169594,El futbolista del Real Madrid Marcelo paga medio millón de euros a Hacienda y evita una pena de cárcel de 4 meses,futbolista,positive,neutral,neutral,113,test,NEU,0.5766811370849609,others,0.9735957384109497,0.008491684682667255,0.007096472196280956,0.006986542139202356
256100,La banca estadounidense también se suma al exilio fiscal,banca estadounidense,positive,neutral,neutral,56,test,NEU,0.584908664226532,others,0.9938188195228577,0.03419666737318039,0.007956219837069511,0.014079940505325794
267685,La CNMV prohíbe las ventas en corto sobre acciones de 69 sociedades por el impacto del coronavirus,CNMV,negative,negative,neutral,98,test,NEU,0.5143616199493408,others,0.9943206310272217,0.013990121893584728,0.005729684140533209,0.007286604028195143
300251,Sube solo un 2% el tipo efectivo que las empresas pagan a Hacienda,tipo efectivo,negative,negative,neutral,66,test,NEU,0.5118622779846191,others,0.9813455939292908,0.02925899811089039,0.004907237831503153,0.010854682885110378
358600,Los malos resultados de ArcelorMittal preocupan a las plantas del País Vasco,ArcelorMittal,negative,negative,negative,76,test,NEG,0.9753157496452332,others,0.7830764651298523,0.01417769119143486,0.0045381151139736176,0.009143777191638947
510884,PNV y PSE consideran innecesario un banco público para promover el arraigo empresarial,banco público,positive,neutral,neutral,86,test,NEG,0.9209116101264954,others,0.9646227359771729,0.013601008802652359,0.005001036450266838,0.01087591890245676
611172,La Fiscalía aprecia defectos en la actuación del Banco de España en Bankia,Banco de España,negative,negative,neutral,74,test,NEG,0.6481506824493408,others,0.9873506426811218,0.010104714892804623,0.007250359747558832,0.007291379850357771
650851,"Los hoteleros impugnan los pliegos del Imserso por ""lesionar gravemente"" sus intereses",hoteleros,negative,neutral,neutral,86,test,NEG,0.8075482845306396,others,0.9089116454124451,0.018280385062098503,0.004937800113111734,0.01208107266575098
688646,Bank of America recorta el precio objetivo de Bankia y cree que no cumplirá con el dividendo,Bank of America,positive,negative,neutral,92,test,NEG,0.9079918265342712,others,0.9871900677680969,0.014448151923716068,0.0101393423974514,0.011465289629995823
22327,"El arte contemporáneo se encarece un 48%, según Artprice",arte contemporáneo,negative,neutral,negative,56,test,NEU,0.5579742789268494,others,0.9069433808326721,0.012207241728901863,0.008075100369751453,0.007112849969416857
23651,Peligroso atasco en los fondos que invierten en renovables,fondos que invierten en renovables,negative,neutral,negative,58,test,NEG,0.9747913479804993,fear,0.6524032950401306,0.03725139796733856,0.0031778838019818068,0.013101729564368725
30627,Las lagunas legislativas sobre la intervención de las CCAA amenazan la eficacia de los Perte,perte,positive,negative,negative,92,test,NEG,0.8708688020706177,others,0.9744802713394165,0.018880141898989677,0.0040816799737513065,0.011636496521532536
36248,Las trabajadoras en ERTE no pueden cobrar la prestación por riesgo en el embarazo,trabajadoras en ERTE,negative,neutral,negative,81,test,NEG,0.5738106966018677,others,0.9889757633209229,0.022301994264125824,0.0050875404849648476,0.010012601502239704
63843,La reforma de las pensiones sigue estando pendiente,reforma de las pensiones,negative,neutral,negative,51,test,NEU,0.5809023976325989,others,0.9933195114135742,0.08882635086774826,0.013842405751347542,0.023406632244586945
71272,Más recortes para el ahorro en planes de pensiones,recortes,positive,negative,negative,50,test,NEG,0.9166728258132935,others,0.7845064401626587,0.0477229468524456,0.003718974534422159,0.017947835847735405
72293,Empieza el juicio por los 500 seísmos que causó la inyección de gas en Castor,Castor,negative,neutral,negative,77,test,NEG,0.4834165871143341,others,0.9502285122871399,0.014311151579022408,0.00473138177767396,0.007814520969986916
73840,Lyft registró 4.000 denuncias de agresiones sexuales entre 2017 y 2019,Lyft,negative,negative,negative,70,test,NEU,0.6175823211669922,others,0.9731104373931885,0.012131565250456333,0.005862664431333542,0.0071918233297765255
77939,"Facebook sabe que es nocivo para 360 millones de usuarios, el 12,5% del total",Facebook,negative,negative,negative,77,test,NEG,0.7918338179588318,others,0.9828205108642578,0.022599494084715843,0.00803541112691164,0.009558157995343208
134672,Los trabajadores de Nueva Pescanova irán a la huelga el 14 y el 21 de marzo,huelga,positive,negative,positive,75,test,NEU,0.7353702783584595,others,0.9938016533851624,0.016586270183324814,0.004756644368171692,0.011790275573730469
152846,Ericsson podría recortar hasta 25.000 empleos fuera de Suecia,Ericsson,negative,negative,negative,61,test,NEU,0.5562265515327454,others,0.9837983846664429,0.020234251394867897,0.0047233630903065205,0.010257015936076641
162207,La fiscalía investiga a Commerzbank por presunta evasión de impuestos,fiscalía,negative,neutral,neutral,69,test,NEG,0.47689181566238403,others,0.9593509435653687,0.009026926942169666,0.006930986884981394,0.0074869245290756226
168553,"El precio de la vivienda nueva sube un 5% en 2017, la mayor subida en diez años",precio de la vivienda nueva,negative,neutral,negative,79,test,NEG,0.6743176579475403,others,0.8362886309623718,0.021823212504386902,0.006995344068855047,0.00966680608689785
226895,Los maquinistas de Renfe convocan cuatro días de huelga en junio,maquinistas de Renfe,positive,negative,negative,64,test,NEG,0.5653266310691833,others,0.985599160194397,0.021725665777921677,0.004428165964782238,0.011842608451843262
252613,La cuota de los autónomos sube hasta 24 euros más al mes,cuota de los autónomos,negative,neutral,negative,56,test,NEU,0.6200345754623413,others,0.9692614674568176,0.034742340445518494,0.006190038751810789,0.010622095316648483
263176,Nissan amaga con cerrar la planta de Barcelona ante la huelga de la plantilla,Nissan,negative,negative,negative,77,test,NEG,0.8428197503089905,others,0.9883437156677246,0.017972562462091446,0.008350281044840813,0.01016117911785841
292588,Las familias sacan 50.000 millones de depósitos en un año por su baja rentabilidad,familias,negative,neutral,negative,82,test,NEG,0.9567817449569702,others,0.9056171774864197,0.04097416624426842,0.0036155942361801863,0.012372295372188091
3526,"Bankinter gana 220 millones hasta septiembre, un 50% menos",Bankinter,negative,neutral,neutral,58,test,NEU,0.7229092717170715,others,0.9281202554702759,0.024102024734020233,0.00816559698432684,0.00986357033252716
8285,La fiscalidad del automóvil se atasca en cinco carteras ministeriales,fiscalidad del automóvil,negative,negative,neutral,69,test,NEG,0.7261195182800293,others,0.990464448928833,0.0301674734801054,0.006707715801894665,0.011194475926458836
13646,O'Leary no ve claro el futuro de IAG como dueña de British Airways tras el Brexit,IAG,negative,neutral,neutral,81,test,NEG,0.59168541431427,others,0.9916824102401733,0.02109896019101143,0.01183126401156187,0.012315492145717144
16452,Vuelve el vértigo a los inversores en IAG y las aerolíneas europeas,inversores en IAG,negative,neutral,neutral,67,test,NEG,0.5573790073394775,others,0.9423496127128601,0.0244310162961483,0.003778599901124835,0.011999931186437607
20287,Deutsche Bank dejará de hacer nuevos negocios con Trump tras décadas de colaboración,Deutsche Bank,positive,neutral,neutral,84,test,NEU,0.5083828568458557,others,0.9887401461601257,0.010940010659396648,0.00640020240098238,0.008015856146812439
20984,La SEC investiga a Exxon por la valoración de sus activos de la Cuenca Pérmica,SEC,positive,neutral,neutral,78,test,NEG,0.5275537371635437,others,0.9926994442939758,0.011936907656490803,0.007706323638558388,0.008955386467278004
24255,Los economistas critican el plazo de entrada en vigor de la Ley de Auditoría,economistas,negative,neutral,neutral,76,test,NEG,0.843614399433136,others,0.9944919347763062,0.01084002386778593,0.007095114793628454,0.00795761588960886
25013,Renfe pierde 480 millones tras un año sin apenas viajeros en el AVE,Renfe,negative,neutral,neutral,67,test,NEG,0.8119379878044128,others,0.9643062353134155,0.02618342824280262,0.004739285446703434,0.010435184463858604
33173,Juicio a la moratoria concursal,moratoria concursal,negative,neutral,neutral,31,test,NEU,0.7620089054107666,others,0.9725898504257202,0.017330188304185867,0.009468917734920979,0.010359348729252815
41820,Ferrovial y Acciona impugnan el principal contrato de Colau,Ferrovial y Acciona,negative,neutral,neutral,59,test,NEG,0.5128039717674255,others,0.9850784540176392,0.008437556214630604,0.008181952871382236,0.0071640703827142715
50148,"Acerinox se desploma un 7%: Nippon Steel coloca el 7,9% a 10,2 euros",Acerinox,negative,neutral,neutral,68,test,NEG,0.6281094551086426,others,0.891819179058075,0.012983604334294796,0.007081703748553991,0.008281300775706768
50621,Primafrio cancela su salida a Bolsa por la baja demanda,Primafrio,negative,neutral,neutral,55,test,NEG,0.8148804903030396,others,0.9882291555404663,0.013523927889764309,0.006556377280503511,0.008859606459736824
51629,"Vivienda: esperando la ""remontada""",Vivienda,positive,neutral,positive,34,test,NEU,0.8194260001182556,others,0.9740155935287476,0.1722225397825241,0.012473289854824543,0.04205292463302612
57513,El Corte Inglés eleva un 14% la deuda desde febrero tras unos gastos extra de 220 millones,El Corte Inglés,negative,neutral,neutral,90,test,NEU,0.5009428858757019,others,0.9591834545135498,0.012759367935359478,0.006195711437612772,0.007747108582407236
61478,"Goldman baja del 9% al 5,5% su previsión de alza del PIB de EE UU del tercer trimestre",Goldman,negative,negative,negative,86,test,NEU,0.5773546695709229,others,0.9778358340263367,0.011294851079583168,0.006245948374271393,0.0069481730461120605
62161,Disa redujo un 38% su negocio petrolero por el Covid,Disa,negative,neutral,neutral,52,test,NEG,0.7478287220001221,others,0.9406496286392212,0.039279062300920486,0.007751189637929201,0.012956816703081131
68028,Las autoridades chinas detienen al presidente y al consejero delegado de HNA,HNA,negative,neutral,neutral,76,test,NEG,0.7492649555206299,others,0.9717113375663757,0.016988152638077736,0.005509036127477884,0.009405949153006077
66513,Google reduce beneficio en España tras elevar un 31% la plantilla de la filial,Google,negative,neutral,neutral,78,test,NEU,0.574951171875,others,0.9925521612167358,0.017665237188339233,0.011647531762719154,0.010554486885666847
30073,"España, el país de la Unión Europea donde más crece la desigualdad salarial",España,negative,positive,negative,75,test,NEG,0.8244587182998657,others,0.9809027910232544,0.041159313172101974,0.00477601308375597,0.01535713393241167
74200,CaixaBank pierde cuota en empresas por la fusión: ganan Bankinter y Sabadell,CaixaBank,negative,neutral,neutral,76,test,NEG,0.6684149503707886,others,0.9718348383903503,0.013723648153245449,0.007928975857794285,0.011298797093331814
99163,"Ortiz devuelve 41 millones a Ikea y reclama 20 millones a Alicante y el Consell por ""errores""",Ortiz,negative,neutral,neutral,93,test,NEG,0.842272162437439,others,0.8777567744255066,0.01069393940269947,0.007569428533315659,0.01087773498147726
7312,Así evoluciona el precio de la vivienda usada,precio de vivienda usada,neutral,neutral,neutral,45,test,NEU,0.760487973690033,others,0.9862288236618042,0.04199940338730812,0.009303923696279526,0.012518980540335178
15459,El salario mínimo ante la fragilidad empresarial,salario mínimo,positive,negative,positive,48,test,NEG,0.872301459312439,others,0.98223876953125,0.034314174205064774,0.008596442639827728,0.012700153514742851
17110,Así se gastarán los 25.000 primeros millones de los fondos europeos,fondos europeos,positive,positive,positive,67,test,NEU,0.49518534541130066,others,0.9814712405204773,0.08414765447378159,0.0031583853997290134,0.02664995938539505
19196,Todo sobre la Sociedad Limitada de Formación Sucesiva,Sociedad Limitada de Formación Sucesiva,neutral,neutral,neutral,53,test,NEU,0.6310470700263977,others,0.996769905090332,0.021838383749127388,0.008038044907152653,0.009873378090560436
33488,"Los Charts de Hódar: CaixaBank, Sabadell y Mapfre",Charts de Hódar,neutral,neutral,neutral,49,test,NEU,0.5264012217521667,others,0.9739822149276733,0.014127818867564201,0.006971040740609169,0.012584961019456387
35495,El expresidente de la CNMV Sebastián Albella se incorpora a Latham & Watkins,Sebastián Albella,positive,neutral,neutral,76,test,NEU,0.7222415804862976,others,0.9935588240623474,0.006988146807998419,0.007607500534504652,0.006088564172387123
49661,Así será el fondo de recapitalización para pymes y empresas medianas,fondo de recapitalización,neutral,positive,positive,68,test,NEU,0.7346392273902893,others,0.99354088306427,0.02321835421025753,0.007358138915151358,0.01167058665305376
51611,BBVA pide igualdad de trato para los planes de pensiones de empresa y los individuales,BBVA,neutral,positive,neutral,86,test,NEU,0.6323208808898926,others,0.9933949112892151,0.01875201426446438,0.004752210807055235,0.011077873408794403
55027,El BCE ligará los dividendos de la banca a los test de estrés,BCE,positive,neutral,neutral,61,test,NEU,0.6321287155151367,others,0.9802612066268921,0.022211268544197083,0.006053520832210779,0.011641335673630238
56953,Cómo actuará el mercado en el segundo semestre,mercado,neutral,neutral,neutral,46,test,NEU,0.8576979041099548,others,0.9816656708717346,0.03636380657553673,0.007594683673232794,0.01177804172039032
62375,Esta es la parte de tu nómina que dice lo que cotizas a la Seguridad Social,nómina,neutral,neutral,neutral,75,test,NEU,0.8413096070289612,others,0.9956669807434082,0.14181596040725708,0.027263402938842773,0.03425861522555351
68191,"Alemania: cinco escenarios para la Bolsa, el Ibex y la prima de riesgo",Alemania,neutral,neutral,neutral,70,test,NEU,0.5090111494064331,others,0.9765516519546509,0.018209882080554962,0.00774015486240387,0.01267738826572895
94233,Fondos cotizados para cada perfil inversor,Fondos cotizados,neutral,neutral,neutral,42,test,NEU,0.8073306083679199,others,0.9945188164710999,0.022680966183543205,0.005772337783128023,0.009087471291422844
80591,La UE advierte de las consecuencias económicas que tendrá no encontrar solución a la crisis de los refugiados,UE,negative,negative,negative,109,test,NEG,0.9634764790534973,others,0.5604509711265564,0.04268413037061691,0.0036377734504640102,0.021937288343906403
35529,Codere pide 100 millones más a sus bonistas y estudia capitalizar parte de su deuda,Codere,positive,neutral,neutral,83,test,NEU,0.6926684379577637,others,0.9888001680374146,0.021364988759160042,0.007128151133656502,0.012558803893625736
40165,Cellnex salta mañana al cuarto puesto por capitalización,Cellnex,positive,negative,neutral,56,test,NEU,0.8548790812492371,others,0.9926647543907166,0.011741363443434238,0.0072248284704983234,0.007945869117975235
69736,"Diez años después de la muerte de Steve Jobs, Apple sigue siendo la empresa más valiosa del mundo",Apple,positive,negative,neutral,97,test,NEU,0.4739627540111542,others,0.8620671033859253,0.013373828493058681,0.00938472244888544,0.007980750873684883
169790,"HSBC toma un 6,9% de Axiare en plena opa de Colonial",HSBC,positive,negative,neutral,52,test,NEG,0.5368162989616394,others,0.9764194488525391,0.025896891951560974,0.008798578754067421,0.009076524525880814
243798,El G7 empuja la reforma fiscal que obligará a pagar más a las multinacionales,G7,positive,negative,neutral,77,test,NEG,0.7224964499473572,others,0.97466641664505,0.16121070086956024,0.005812920164316893,0.032361216843128204
272870,La agencia de calificación china Dagong recorta su nota a EEUU,Dagong,positive,negative,neutral,62,test,NEG,0.5196862816810608,others,0.9889875054359436,0.015251228585839272,0.010289233177900314,0.010565093718469143
307191,"El Barça, líder financiero de los campeones de liga",Barça,positive,negative,neutral,51,test,POS,0.5607427954673767,others,0.9924650192260742,0.015049532987177372,0.00937152560800314,0.010275442153215408
310714,El consejo de Norwegian rechaza las dos ofertas de compra planteadas por IAG,Norwegian,positive,negative,neutral,76,test,NEG,0.5901971459388733,others,0.9926612377166748,0.011918250471353531,0.005581018049269915,0.008193216286599636
316687,"Samsung aumentó su beneficio neto un 5,12% en 2018",Samsung,positive,negative,neutral,50,test,NEU,0.6003490686416626,others,0.9758492708206177,0.013810625299811363,0.008545191027224064,0.007156372535973787
99766,Los ‘nuevos’ ERTE mantienen la prohibición de despedir y eliminan las ventajas sociales a las empresas que no formen,ERTE,positive,negative,positive,116,test,NEG,0.7476387619972229,others,0.9533007144927979,0.031736504286527634,0.0031372597441077232,0.02032558247447014
114012,ING recrudece la batalla hipotecaria al rebajar sus hipotecas fija y mixta,ING,positive,negative,positive,74,test,NEG,0.5834015607833862,others,0.9875196218490601,0.04768382012844086,0.00798663031309843,0.0168975330889225
138317,G310R de BMW o cómo una marca 'premium' apuesta por el 'low cost',BMW,positive,negative,positive,65,test,NEG,0.5935204029083252,others,0.9897143244743347,0.016784537583589554,0.009210070595145226,0.009184867143630981
144733,"Apple añade a su familia de tabletas un iPad Pro de 10,5 pulgadas",Apple,positive,negative,positive,65,test,NEU,0.5916253924369812,others,0.9721524119377136,0.017276238650083542,0.009839072823524475,0.00831420999020338
230430,Amazon planta cara a El Corte Inglés: entrega en 1 hora alimentos frescos,Amazon,positive,negative,positive,73,test,NEU,0.5193030834197998,others,0.9693362712860107,0.016308734193444252,0.005503748543560505,0.00788140669465065
15767,Los inversores fuerzan la salida del CEO de Rio Tinto tras la destrucción de yacimientos aborígenes,inversores,positive,neutral,negative,99,test,NEG,0.7091501355171204,others,0.9752684831619263,0.021294768899679184,0.004210224840790033,0.011667650192975998
1360,Apple da el salto al 5G con el iPhone 12,Apple,positive,neutral,neutral,40,test,NEU,0.487743616104126,others,0.9744446277618408,0.019873332232236862,0.012389850802719593,0.009077227674424648
8108,El gestor Bill Ackman hace una nueva apuesta contra el crédito corporativo,Bill Ackman,positive,neutral,neutral,74,test,NEG,0.7766533493995667,others,0.9920638203620911,0.011446448974311352,0.007170806173235178,0.007807133719325066
9887,Las inmobiliarias se lanzan a comprar supermercados por 600 millones,inmobiliarias,positive,neutral,neutral,68,test,NEU,0.7076914310455322,others,0.968508780002594,0.04414839670062065,0.004349231719970703,0.012934857048094273
10411,Santander reivindica el papel de la banca en la recuperación,Santander,positive,neutral,neutral,60,test,NEU,0.49622246623039246,others,0.9902887344360352,0.017190681770443916,0.009179363027215004,0.009852219372987747
14538,Dia ficha al exdirector financiero de Vips e incorpora al consejo a su responsable en Brasil,Dia,positive,neutral,neutral,92,test,NEU,0.7170462012290955,others,0.9943429231643677,0.008867062628269196,0.008864037692546844,0.006333175580948591
17749,Los cuatro fondos de Bolsa que ganan más del 27%,fondos de Bolsa,positive,neutral,neutral,48,test,NEU,0.6396717429161072,others,0.9872769713401794,0.02869703434407711,0.004466683138161898,0.011926074512302876
25376,Santander aprueba la salida a Bolsa de Getnet para impulsar su nueva plataforma de pagos PagoNxt,Santander,positive,neutral,neutral,96,test,NEU,0.582322359085083,others,0.9901595711708069,0.0158293005079031,0.00863482616841793,0.010782171040773392
26050,Alcampo amplía capital tras culminar su reestructuración societaria en España,Alcampo,positive,neutral,neutral,77,test,NEU,0.6739782691001892,others,0.9900155663490295,0.01298911590129137,0.00755023118108511,0.008021561428904533
27090,Gransolar explora su venta por hasta 1.000 millones,Gransolar,positive,neutral,neutral,51,test,NEU,0.6881822943687439,others,0.9831333756446838,0.014263519085943699,0.006123144179582596,0.007689924910664558
28805,Three Gorges cierra la compra de las renovables de los Masaveu,Three Gorges,positive,neutral,neutral,62,test,NEU,0.5958737134933472,others,0.9894485473632812,0.010863163508474827,0.006639681290835142,0.009597547352313995
28870,Los analistas apuntan a que Telefónica bajará el dividendo para mejorar su posición financiera,Telefónica,positive,neutral,neutral,94,test,NEU,0.7473916411399841,others,0.9915401339530945,0.014910809695720673,0.007127466611564159,0.009427424520254135
32274,La CNMV exige a Barón de Ley que actualice el informe de valoración para aprobar su opa,CNMV,positive,neutral,neutral,87,test,NEU,0.7073829770088196,others,0.994944155216217,0.007806668523699045,0.009071508422493935,0.006188554689288139
32667,"Stripe, el mayor 'unicornio' de Silicon Valley tras ser valorada en 95.000 millones de dólares",Stripe,positive,neutral,neutral,94,test,NEU,0.4966939687728882,others,0.9069298505783081,0.012424873188138008,0.0083880964666605,0.007482227403670549
33473,Bolsa: las mejores opciones para el 'rally' automovilístico,rally' automovilístico,positive,neutral,neutral,59,test,NEU,0.4914202094078064,others,0.9873009920120239,0.02474072389304638,0.006881961598992348,0.0120704909786582
36141,CaixaBank iniciará este lunes la unificación de la marca en su red de oficinas,CaixaBank,positive,neutral,neutral,78,test,NEU,0.8053939342498779,others,0.9927524328231812,0.013276573270559311,0.008955543860793114,0.00910013448446989
38094,Cellnex cierra su macroampliación de capital con fuerte demanda,Cellnex,positive,neutral,neutral,63,test,NEU,0.6602216958999634,others,0.9845952987670898,0.019100414589047432,0.008822551928460598,0.0100107965990901
38612,Meliá trabaja en China con ocupaciones que llegan incluso al 100%,Meliá,positive,neutral,neutral,65,test,NEU,0.8181231021881104,others,0.9908962845802307,0.02940554916858673,0.006331522483378649,0.013436545617878437
3528,Vueling garantiza el empleo de todos sus pilotos hasta el final de 2021,Vueling,positive,neutral,positive,71,test,NEU,0.7336384057998657,others,0.986084520816803,0.026151642203330994,0.004808901343494654,0.011093838140368462
4384,Inditex firma un acuerdo para mantener el empleo con la transformación digital de la empresa,Inditex,positive,neutral,positive,92,test,NEU,0.5180800557136536,others,0.987598717212677,0.016269896179437637,0.006139657460153103,0.007943888194859028
5804,"Macron renuncia a su pensión vitalicia para dar ""ejemplo""",Macron,positive,neutral,positive,57,test,NEG,0.6205745339393616,others,0.9898985028266907,0.02360733412206173,0.010730990208685398,0.013297678902745247
9122,El Gobierno aprueba hoy bajar el IVA de las mascarillas al 4% y ampliar los avales del ICO,Gobierno,positive,neutral,positive,90,test,NEU,0.6065824031829834,others,0.9908574223518372,0.016072992235422134,0.006153534632176161,0.007608810439705849
26233,70 puestos cotizados para trabajar en 12 sectores emergentes,puestos cotizados,positive,neutral,positive,60,test,NEU,0.8507401347160339,others,0.9945245981216431,0.02487526647746563,0.005172216799110174,0.010685750283300877
28787,Restaurantes elásticos para sobrevivir,Restaurantes elásticos,positive,neutral,positive,38,test,NEU,0.7915946245193481,others,0.9790843725204468,0.16249124705791473,0.006737716030329466,0.035094644874334335
33171,Samsung lanza dos nuevos smartphones de gama media con mejores pantallas y 5G,Samsung,positive,neutral,positive,77,test,POS,0.6792725324630737,others,0.9741038084030151,0.019117293879389763,0.00625868234783411,0.010510845109820366
35223,El Banco de España pide a la banca que use los colchones de capital para los deterioros,Banco de España,positive,positive,positive,87,test,NEG,0.8633884787559509,others,0.9898030757904053,0.03067387267947197,0.005044775083661079,0.013693811371922493
37286,Francia dará primas a los que desguacen su coche para comprar una bicicleta,Francia,positive,neutral,positive,75,test,NEU,0.646439254283905,others,0.9589782953262329,0.1855461150407791,0.004086763598024845,0.03653397783637047
38945,El Gobierno se compromete a subir las pensiones conforme al IPC y no habrá compensaciones por inflación negativa,pensiones,positive,neutral,positive,112,test,NEU,0.5810590982437134,others,0.9917595982551575,0.014571660198271275,0.007590286433696747,0.009493731893599033
40229,ETL lanza Medvision para el colectivo médico,Medvision,positive,neutral,positive,44,test,NEU,0.6895153522491455,others,0.9943085312843323,0.011382386088371277,0.012434257194399834,0.009794382378458977
40230,Renfe suspende una licitación de 1.300 millones por contaminante,Renfe,positive,neutral,positive,64,test,NEG,0.7328547239303589,others,0.969950795173645,0.011895333416759968,0.006046327296644449,0.00713614746928215
42985,CaixaBank planea igualar las condiciones laborales de su plantilla y la de Bankia,CaixaBank,positive,neutral,positive,81,test,NEU,0.5863483548164368,others,0.9870079159736633,0.01983405463397503,0.006591504439711571,0.01054718904197216
43169,"Los usuarios del transporte público aumentaron un 31,6% en marzo, la primera subida en pandemia",usuarios del transporte público,positive,neutral,positive,95,test,NEU,0.4964848458766937,others,0.7711035013198853,0.017687642946839333,0.005144946277141571,0.007813969627022743
